Bean_Type,Roast_Level,Grind_Size,Brewing_Method,Water_Temp_C,Brew_Time_sec,Coffee_Water_Ratio,Acidity_Pref,Bitterness_Pref,Flavor_Score
Arabica,Medium,Fine,French Press,93.49014245903369,234.4694279531526,0.067,4,4,6.78
Arabica,Medium,Coarse,French Press,91.29758912915246,303.16851262029564,0.056,1,3,6.14
Blend,Light,Coarse,Pour-over,92.06666547983595,222.8882834558662,0.062,3,3,5.81
Robusta,Dark,Medium,French Press,85.58113803177127,214.82100156302997,0.064,0,2,4.7
Blend,Dark,Coarse,Pour-over,93.25103332898952,273.29847428484624,0.063,1,3,5.18
Robusta,Medium,Fine,Cold Brew,93.99396302824955,234.39126010571968,0.059,3,3,5.7
Blend,Dark,Medium,Pour-over,91.9595083257862,197.69156284176398,0.056,5,0,5.41
Robusta,Light,Fine,French Press,88.33746905008694,248.3545438001902,0.064,5,4,3.53
Blend,Dark,Coarse,Cold Brew,94.21539973998622,246.8547312475988,0.057,3,0,5.03
Blend,Dark,Coarse,Cold Brew,96.92531334804222,258.4326520059455,0.065,4,0,4.54
Robusta,Dark,Fine,Espresso,89.46974022992215,219.46698378411335,0.056,0,0,4.28
Robusta,Medium,Coarse,Pour-over,94.66324537878008,275.77329320435047,0.057,1,0,4.86
Arabica,Light,Medium,Pour-over,89.3109944506121,235.52048717972232,0.061,5,4,6.9
Blend,Medium,Fine,Pour-over,96.06872008571247,237.11959513678664,0.057,5,2,7.04
Robusta,Medium,Coarse,Espresso,93.08418681652525,301.52146265863877,0.068,2,0,4.5
Arabica,Dark,Coarse,Cold Brew,92.99867732146679,184.77131902910992,0.07,0,3,4.33
Robusta,Medium,Coarse,Cold Brew,97.38284252902575,263.2275816692011,0.058,4,2,5.74
Robusta,Dark,Fine,Pour-over,94.47119923092542,251.7223698258229,0.06,4,5,4.93
Robusta,Light,Fine,French Press,87.55272725942326,230.84609935043935,0.062,5,2,4.72
Arabica,Light,Coarse,Pour-over,90.92066556412404,268.9633300610351,0.06,2,5,5.55
Blend,Medium,Fine,Espresso,89.38908513631678,219.73427121473904,0.064,5,4,5.59
Robusta,Dark,Medium,French Press,94.74465296577803,213.35757519078285,0.059,0,3,4.01
Blend,Light,Medium,Cold Brew,92.7726511721683,237.0221633693533,0.071,5,1,5.05
Arabica,Medium,Fine,Espresso,93.37224694615743,237.42487796796132,0.056,0,0,6.8
Blend,Light,Medium,Cold Brew,90.2758723771598,223.14007118640467,0.063,5,3,5.46
Robusta,Medium,Coarse,Espresso,89.93241736860726,269.1133245666347,0.063,1,5,4.32
Arabica,Dark,Fine,Espresso,95.65415131326954,224.42167902786073,0.068,0,3,6.9
Arabica,Light,Fine,Pour-over,92.24291241783371,223.341745457945,0.059,1,2,7.25
Robusta,Medium,Medium,Espresso,90.39151969946293,283.8611542597953,0.057,0,0,5.07
Robusta,Light,Fine,French Press,85.0,259.27916556011576,0.067,1,5,4.25
Robusta,Dark,Coarse,French Press,88.91686740773453,269.64962540180875,0.058,0,3,2.67
Arabica,Medium,Fine,Espresso,92.55390157559691,250.39531176993694,0.061,2,2,8.39
Arabica,Dark,Fine,French Press,93.5658246968507,251.87938692932744,0.07,0,3,5.69
Robusta,Dark,Fine,Cold Brew,94.54220429772991,246.99332047965885,0.067,4,0,3.62
Arabica,Medium,Medium,Cold Brew,88.00977780345565,238.9884949771549,0.061,2,0,6.97
Blend,Medium,Coarse,Cold Brew,86.34041586264308,330.93380632069926,0.06,5,5,3.91
Arabica,Medium,Coarse,Pour-over,91.96566965759081,256.5341635049458,0.07,2,1,7.36
Blend,Dark,Coarse,Cold Brew,87.9694287077977,274.0048232849543,0.059,2,3,4.73
Robusta,Dark,Fine,Espresso,92.12594019341007,234.50912731608736,0.058,3,5,4.91
Arabica,Medium,Fine,Espresso,94.22102245384322,221.90151070621323,0.062,0,2,7.72
Blend,Light,Fine,Pour-over,92.64228123239062,190.17044885152046,0.07,1,2,5.17
Arabica,Light,Medium,Espresso,92.46117531783658,242.32834873784,0.069,0,0,5.75
Arabica,Dark,Fine,Pour-over,93.25591840751781,210.87283002546667,0.064,1,1,6.37
Arabica,Dark,Medium,French Press,92.77162247294032,240.95727257863348,0.064,4,3,7.24
Arabica,Dark,Coarse,Espresso,95.99264398391625,279.5281044201645,0.068,3,2,5.9
Blend,Light,Coarse,Espresso,87.49769482037848,246.60091192437355,0.056,0,1,4.61
Robusta,Medium,Coarse,Pour-over,86.63451048505851,254.29218167746535,0.065,5,0,4.17
Arabica,Light,Fine,Cold Brew,90.9955482578158,302.41520564531515,0.059,4,3,5.86
Robusta,Light,Fine,French Press,90.8257945637545,257.520903896867,0.062,2,3,4.54
Robusta,Light,Medium,Espresso,86.02820135126791,205.698044573556,0.058,5,0,5.0
Arabica,Light,Medium,Cold Brew,90.8946500327399,246.28807420388313,0.07,1,5,5.55
Robusta,Medium,Coarse,Cold Brew,93.7336914052965,325.3856499202963,0.062,4,2,4.8
Arabica,Dark,Fine,Pour-over,89.80777579031104,188.8032106694748,0.068,0,4,4.93
Blend,Medium,Coarse,French Press,97.61601704141691,239.22231436401808,0.063,0,5,4.47
Arabica,Medium,Medium,French Press,86.01511528532706,187.9922863362624,0.065,4,3,6.64
Blend,Light,Medium,Cold Brew,90.60300568623636,242.34035609227377,0.069,4,4,6.61
Robusta,Light,Fine,Pour-over,91.39262742250534,242.4358642846864,0.065,2,3,4.52
Robusta,Dark,Medium,Espresso,95.84162228503239,215.39465288914678,0.064,4,3,6.39
Robusta,Light,Coarse,Cold Brew,93.3179814203103,235.66008445745948,0.07,3,4,4.12
Robusta,Light,Coarse,Cold Brew,92.62279478385716,275.3996186874666,0.056,1,2,3.87
Blend,Medium,Coarse,Cold Brew,90.13328850528116,225.7804543633456,0.067,4,2,6.07
Robusta,Medium,Medium,Pour-over,93.74394240210717,214.81196570939548,0.058,0,2,6.02
Robusta,Light,Fine,Pour-over,91.93729521810755,244.69309533235128,0.061,5,4,5.31
Arabica,Medium,Medium,Espresso,88.66650856176771,205.49539513737807,0.062,0,5,6.71
Robusta,Light,Fine,Cold Brew,85.0,236.93871754593815,0.06,2,0,4.14
Robusta,Dark,Medium,Cold Brew,94.95207063368927,244.142723377694,0.063,1,4,4.47
Robusta,Light,Medium,Cold Brew,92.60572232540838,207.81053259698015,0.064,4,3,5.89
Arabica,Dark,Fine,Pour-over,93.21374868535257,243.60290347926644,0.069,5,4,5.97
Arabica,Medium,Fine,Espresso,90.48367317862441,185.7285806232575,0.07,1,4,5.47
Robusta,Medium,Medium,Cold Brew,92.23702704273217,282.42769852721204,0.07,0,0,4.28
Blend,Medium,Fine,Espresso,86.77014425836472,282.7791180816348,0.067,2,4,6.67
